scenario_id,run_id,timestamp_local,recommended_ac_units_on,recommended_ac_setpoint_c,recommended_fan_units_on,grid_energy_kwh,solar_energy_used_kwh,battery_charge_kwh,battery_discharge_kwh,battery_soc_kwh,cooling_energy_kwh,estimated_indoor_temp_c,comfort_status,interval_cost_pkr,interval_emissions_kgco2e,reason_code,explanation,constraint_violation_count,constraint_violation_details
PUB-A,coolshift-v1,2026-05-01T00:00:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,26.47,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-01T00:15:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,25.76,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-01T00:30:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,25.12,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-01T00:45:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.83,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-01T01:00:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.5,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-01T01:15:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.35,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-01T01:30:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.21,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-01T01:45:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.14,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-01T02:00:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.1,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-01T02:15:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.02,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-01T02:30:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,23.9,TOO_COOL,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-01T02:45:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,23.85,TOO_COOL,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-01T03:00:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,23.76,TOO_COOL,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-01T03:15:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,23.79,TOO_COOL,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-01T03:30:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,23.92,TOO_COOL,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-01T03:45:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.05,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-01T04:00:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.03,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-01T04:15:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.06,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-01T04:30:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.2,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-01T04:45:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.38,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-01T05:00:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.43,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
PUB-A,coolshift-v1,2026-05-01T05:15:00,0,,2,0.125,0.0,0.0,0.0,0.0,0.0375,24.56,COMFORT_OK,5.25,0.0575,BASELINE_OPTIMIZED,Starts from the organizer baseline and removes avoidable energy use.,0,
