scenario_id,run_id,period_start,period_end,period_type,baseline_energy_kwh,optimized_energy_kwh,energy_saving_kwh,energy_saving_pct,baseline_cost_pkr,optimized_cost_pkr,cost_saving_pkr,cost_saving_pct,baseline_emissions_kgco2e,optimized_emissions_kgco2e,emissions_avoided_kgco2e,peak_grid_demand_kw,peak_period_grid_energy_kwh,solar_available_kwh,solar_used_kwh,solar_utilization_pct,comfort_compliance_pct,unsafe_interval_count,constraint_violation_count
PUB-A,coolshift-v1,2026-05-01,2026-05-01,daily,16.5625,16.5625,0.0,0.0,757.23,757.23,0.0,0.0,7.8113,7.8113,0.0,1.85,3.85,0.0,0.0,0.0,90.62,4,4
PUB-A,coolshift-v1,2026-05-02,2026-05-02,daily,17.325,17.325,0.0,0.0,788.05,788.05,0.0,0.0,8.1583,8.1583,0.0,1.85,3.775,0.0,0.0,0.0,93.75,6,6
PUB-A,coolshift-v1,2026-05-03,2026-05-03,daily,17.6625,17.6625,0.0,0.0,807.62,807.62,0.0,0.0,8.3304,8.3304,0.0,1.85,4.1125,0.0,0.0,0.0,93.75,6,6
PUB-A,coolshift-v1,2026-05-04,2026-05-04,daily,18.75,18.75,0.0,0.0,865.3,865.3,0.0,0.0,8.8682,8.8682,0.0,1.85,4.8625,0.0,0.0,0.0,100.0,0,0
PUB-A,coolshift-v1,2026-05-05,2026-05-05,daily,17.7375,17.7375,0.0,0.0,811.98,811.98,0.0,0.0,8.3687,8.3687,0.0,1.85,4.1875,0.0,0.0,0.0,100.0,0,0
PUB-A,coolshift-v1,2026-05-06,2026-05-06,daily,16.3125,16.3125,0.0,0.0,729.33,729.33,0.0,0.0,7.6419,7.6419,0.0,1.85,2.7625,0.0,0.0,0.0,79.17,6,6
PUB-A,coolshift-v1,2026-05-07,2026-05-07,daily,14.9625,14.9625,0.0,0.0,667.23,667.23,0.0,0.0,7.004,7.004,0.0,1.85,2.425,0.0,0.0,0.0,71.88,6,6
PUB-A,coolshift-v1,2026-05-01,2026-05-07,overall,119.3125,119.3125,0.0,0.0,5426.73,5426.73,0.0,0.0,56.1827,56.1827,0.0,1.85,25.975,0.0,0.0,0.0,89.88,28,28
PUB-B,coolshift-v1,2026-05-01,2026-05-01,daily,23.7563,14.2487,9.5075,40.02,1230.72,716.27,514.45,41.8,11.4733,6.8171,4.6562,2.355,5.2547,25.328,16.8128,66.38,84.38,0,0
PUB-B,coolshift-v1,2026-05-02,2026-05-02,daily,23.9587,14.4512,9.5075,39.68,1245.14,729.38,515.75,41.42,11.5826,6.9226,4.66,2.355,5.5017,26.5125,21.1969,79.95,81.25,6,6
PUB-B,coolshift-v1,2026-05-03,2026-05-03,daily,25.2608,15.422,9.8388,38.95,1309.57,785.95,523.62,39.98,12.2026,7.4099,4.7927,2.355,6.3167,21.408,20.2261,94.48,87.5,0,0
PUB-B,coolshift-v1,2026-05-04,2026-05-04,daily,22.1908,12.6833,9.5075,42.84,1123.04,618.79,504.26,44.9,10.639,6.0129,4.6262,2.355,3.572,21.476,20.2786,94.42,80.21,4,4
PUB-B,coolshift-v1,2026-05-05,2026-05-05,daily,22.182,12.012,10.17,45.85,1143.93,580.58,563.34,49.25,10.6975,5.6786,5.019,1.03,3.062,26.5877,21.3174,80.18,80.21,0,0
